account_id,customer_id,bank_name,account_type,ifsc_code,account_open_date,account_status,salary_account,average_balance,upi_linked
ACC10046,CUST10046,IndusInd Bank,Savings,INDB004335,2020-09-01,Active,FALSE,126284.53,TRUE
ACC10047,CUST10047,HDFC Bank,Savings,HDFC007939,2015-06-30,Active,FALSE,102400.52,TRUE
ACC10048,CUST10048,Kotak Mahindra Bank,Current,KKBK003647,2021-03-09,Active,TRUE,101989.44,FALSE
ACC10049,CUST10049,Union Bank of India,Salary,UBIN003442,2015-05-28,Active,TRUE,32460.46,TRUE
ACC10050,CUST10050,ICICI Bank,Savings,ICIC001685,2019-02-02,Active,FALSE,212270.25,TRUE
ACC10051,CUST10051,Axis Bank,Savings,UTIB005088,2018-12-19,Active,FALSE,117346.16,TRUE
ACC10052,CUST10052,YES Bank,Savings,YESB003532,2016-10-27,Inactive,FALSE,624106.37,TRUE
ACC10053,CUST10053,Union Bank of India,Current,UBIN006442,2023-12-30,Active,FALSE,71118.79,TRUE
ACC10054,CUST10054,Union Bank of India,Current,UBIN002771,2015-06-08,Active,FALSE,24282.91,TRUE
ACC10055,CUST10055,Bank of Baroda,Savings,BARB006728,2023-12-02,Active,FALSE,36987.47,TRUE
ACC10056,CUST10056,Punjab National Bank,Savings,PUNB006378,2015-10-12,Inactive,TRUE,174102.88,TRUE
ACC10057,CUST10057,IDFC FIRST Bank,Savings,IDFB006425,2016-04-17,Active,TRUE,125157.45,FALSE
ACC10058,CUST10058,State Bank of India,Salary,SBIN002776,2019-11-15,Active,TRUE,178852.21,TRUE
ACC10059,CUST10059,IDFC FIRST Bank,Current,IDFB002894,2021-06-19,Active,FALSE,8619.72,TRUE
ACC10060,CUST10060,IDFC FIRST Bank,Savings,IDFB009821,2019-01-31,Active,FALSE,85078.16,FALSE
ACC10061,CUST10061,YES Bank,Savings,YESB006143,2023-01-27,Active,FALSE,41340.03,TRUE
ACC10062,CUST10062,IndusInd Bank,Savings,INDB007592,2021-03-20,Active,FALSE,52653.7,FALSE
ACC10063,CUST10063,Canara Bank,Salary,CNRB003851,2021-05-20,Active,TRUE,30800.99,TRUE
ACC10064,CUST10064,Kotak Mahindra Bank,Current,KKBK004443,2023-10-24,Active,FALSE,337924.86,TRUE
ACC10065,CUST10065,Axis Bank,Current,UTIB009375,2023-11-26,Active,FALSE,89359.32,TRUE
ACC10066,CUST10066,IDFC FIRST Bank,Savings,IDFB006491,2023-06-04,Active,FALSE,60787.09,TRUE
ACC10067,CUST10067,ICICI Bank,Savings,ICIC001400,2017-09-29,Blocked,FALSE,216594.52,TRUE
ACC10068,CUST10068,Canara Bank,Current,CNRB004185,2020-07-17,Active,TRUE,252539.56,TRUE
ACC10069,CUST10069,HDFC Bank,Savings,HDFC007965,2016-12-21,Active,FALSE,70753.7,TRUE
ACC10070,CUST10070,IDFC FIRST Bank,Savings,IDFB005082,2020-02-13,Active,TRUE,122976.76,TRUE
ACC10071,CUST10071,IndusInd Bank,Salary,INDB008251,2023-01-25,Active,TRUE,64957.25,TRUE
ACC10072,CUST10072,Bank of Baroda,Current,BARB003607,2020-01-18,Active,FALSE,16367.51,TRUE
ACC10073,CUST10073,IDFC FIRST Bank,Savings,IDFB008939,2018-01-29,Active,FALSE,62497.58,TRUE
ACC10074,CUST10074,IDFC FIRST Bank,Savings,IDFB002320,2016-09-09,Active,FALSE,298303.06,TRUE
ACC10075,CUST10075,Punjab National Bank,Salary,PUNB006421,2020-03-23,Active,TRUE,162075.1,TRUE
ACC10076,CUST10076,YES Bank,Salary,YESB001320,2019-04-08,Active,TRUE,79602.56,TRUE
ACC10077,CUST10077,Punjab National Bank,Salary,PUNB007865,2023-05-20,Active,TRUE,110093.76,TRUE
ACC10078,CUST10078,Bank of Baroda,Savings,BARB004595,2019-11-21,Active,FALSE,63318.07,TRUE
ACC10079,CUST10079,Punjab National Bank,Current,PUNB003704,2016-06-06,Blocked,FALSE,44202.3,TRUE
ACC10080,CUST10080,YES Bank,Savings,YESB001444,2022-03-17,Active,FALSE,55977.34,TRUE
ACC10081,CUST10081,IndusInd Bank,Current,INDB004467,2018-08-31,Active,FALSE,119921.65,TRUE
ACC10082,CUST10082,Punjab National Bank,Savings,PUNB005133,2020-04-10,Active,TRUE,239729.8,TRUE
ACC10083,CUST10083,Canara Bank,Savings,CNRB002124,2023-06-17,Active,TRUE,188088.54,TRUE
ACC10084,CUST10084,Axis Bank,Current,UTIB003068,2022-07-05,Active,FALSE,73322.09,TRUE
ACC10085,CUST10085,Kotak Mahindra Bank,Savings,KKBK007043,2021-10-17,Active,FALSE,86187.59,TRUE
ACC10086,CUST10086,ICICI Bank,Savings,ICIC006096,2021-06-28,Active,FALSE,49983.13,TRUE
ACC10087,CUST10087,Punjab National Bank,Savings,PUNB007498,2015-11-08,Active,FALSE,57677.67,TRUE
ACC10088,CUST10088,Union Bank of India,Salary,UBIN005941,2016-05-10,Active,TRUE,69662.48,TRUE
ACC10089,CUST10089,IDFC FIRST Bank,Savings,IDFB008018,2015-10-10,Active,FALSE,42454.16,TRUE
ACC10090,CUST10090,Bank of Baroda,Current,BARB002729,2019-01-23,Active,FALSE,106267.08,TRUE
ACC10091,CUST10091,Punjab National Bank,Salary,PUNB003885,2022-04-18,Active,TRUE,147198.11,TRUE
ACC10092,CUST10092,Bank of Baroda,Current,BARB008616,2023-03-14,Active,TRUE,115071.96,FALSE
ACC10093,CUST10093,Kotak Mahindra Bank,Savings,KKBK008385,2023-06-01,Active,FALSE,40555.11,TRUE
ACC10094,CUST10094,State Bank of India,Savings,SBIN009098,2017-01-14,Active,TRUE,69857.12,TRUE
ACC10095,CUST10095,YES Bank,Salary,YESB005526,2015-02-11,Active,TRUE,74277.52,TRUE
ACC10096,CUST10096,Punjab National Bank,Salary,PUNB009004,2023-07-03,Active,TRUE,153173.83,TRUE
ACC10097,CUST10097,Bank of Baroda,Savings,BARB001282,2018-04-20,Active,FALSE,106833.05,TRUE
ACC10098,CUST10098,YES Bank,Current,YESB007046,2021-03-17,Active,FALSE,77264.97,TRUE
ACC10099,CUST10099,IndusInd Bank,Current,INDB006764,2018-01-14,Active,TRUE,196912.29,TRUE
ACC10100,CUST10100,Union Bank of India,Savings,UBIN009779,2017-02-23,Active,FALSE,56407.78,TRUE
ACC10101,CUST10101,IDFC FIRST Bank,Savings,IDFB005636,2017-03-06,Active,TRUE,66530.95,TRUE
ACC10102,CUST10102,ICICI Bank,Savings,ICIC005494,2015-08-12,Active,FALSE,100003.56,TRUE
ACC10103,CUST10103,Bank of Baroda,Savings,BARB002680,2021-06-09,Active,TRUE,75769.11,FALSE
ACC10104,CUST10104,Kotak Mahindra Bank,Savings,KKBK008827,2015-09-25,Active,TRUE,462845.25,TRUE
ACC10105,CUST10105,ICICI Bank,Savings,ICIC005978,2017-10-13,Active,FALSE,41193.29,TRUE
ACC10106,CUST10106,YES Bank,Salary,YESB004697,2019-04-08,Active,TRUE,79826.89,TRUE
ACC10107,CUST10107,Punjab National Bank,Salary,PUNB006003,2021-12-18,Active,TRUE,102856.62,TRUE
ACC10108,CUST10108,Axis Bank,Savings,UTIB004457,2022-05-29,Active,TRUE,104351.95,TRUE
ACC10109,CUST10109,Punjab National Bank,Salary,PUNB008381,2020-04-08,Active,TRUE,30701.36,TRUE
ACC10110,CUST10110,Union Bank of India,Savings,UBIN008438,2022-09-16,Active,TRUE,154343.61,TRUE
ACC10111,CUST10111,Axis Bank,Savings,UTIB007965,2021-02-08,Active,FALSE,22137.83,TRUE
ACC10112,CUST10112,ICICI Bank,Savings,ICIC002169,2016-11-10,Active,FALSE,52899.38,TRUE
ACC10113,CUST10113,Kotak Mahindra Bank,Savings,KKBK008195,2020-04-03,Active,FALSE,90139.75,FALSE
ACC10114,CUST10114,IDFC FIRST Bank,Current,IDFB009847,2019-11-29,Active,FALSE,20522.62,TRUE
ACC10115,CUST10115,IndusInd Bank,Savings,INDB005102,2016-01-10,Active,FALSE,58986.11,TRUE
ACC10116,CUST10116,YES Bank,Savings,YESB001339,2021-06-18,Active,FALSE,96562.14,TRUE
ACC10117,CUST10117,Canara Bank,Savings,CNRB008245,2017-01-13,Blocked,TRUE,337047.72,FALSE
ACC10118,CUST10118,Bank of Baroda,Current,BARB006700,2018-09-27,Active,TRUE,78205.39,TRUE
ACC10119,CUST10119,Bank of Baroda,Current,BARB005722,2023-07-13,Active,FALSE,47396.96,TRUE
ACC10120,CUST10120,IndusInd Bank,Current,INDB002899,2020-10-08,Active,FALSE,10173.39,TRUE
ACC10121,CUST10121,Bank of Baroda,Savings,BARB007770,2017-02-07,Active,FALSE,121291.39,TRUE
ACC10122,CUST10122,State Bank of India,Savings,SBIN004335,2021-02-27,Active,TRUE,378923.16,TRUE
ACC10123,CUST10123,State Bank of India,Savings,SBIN004920,2018-06-26,Active,FALSE,79587.37,TRUE
ACC10124,CUST10124,HDFC Bank,Savings,HDFC008560,2022-04-07,Active,FALSE,71055.06,TRUE
ACC10125,CUST10125,IDFC FIRST Bank,Current,IDFB005479,2020-05-30,Blocked,FALSE,29698.32,TRUE
ACC10126,CUST10126,Punjab National Bank,Salary,PUNB004122,2020-09-12,Active,TRUE,22841.63,TRUE
ACC10127,CUST10127,Punjab National Bank,Salary,PUNB006568,2017-12-30,Active,TRUE,66279.66,TRUE
ACC10128,CUST10128,YES Bank,Savings,YESB009022,2020-01-04,Active,TRUE,240704.81,TRUE
ACC10129,CUST10129,Bank of Baroda,Savings,BARB006272,2022-10-27,Active,TRUE,279610.22,TRUE
ACC10130,CUST10130,IndusInd Bank,Current,INDB008749,2019-05-01,Blocked,FALSE,116262.05,TRUE
ACC10131,CUST10131,ICICI Bank,Savings,ICIC009115,2016-06-01,Active,FALSE,53620.15,TRUE
ACC10132,CUST10132,Bank of Baroda,Salary,BARB002633,2020-02-15,Active,TRUE,60142.49,TRUE
ACC10133,CUST10133,ICICI Bank,Current,ICIC002225,2023-10-07,Inactive,FALSE,29743.01,TRUE
ACC10134,CUST10134,Canara Bank,Savings,CNRB002315,2022-07-25,Active,TRUE,117541.75,TRUE
ACC10135,CUST10135,Bank of Baroda,Savings,BARB009864,2021-12-04,Active,FALSE,77710.46,FALSE
ACC10136,CUST10136,Axis Bank,Current,UTIB002480,2016-02-08,Active,FALSE,53148.78,TRUE
ACC10137,CUST10137,Kotak Mahindra Bank,Savings,KKBK001474,2018-08-21,Active,FALSE,37782.69,TRUE
ACC10138,CUST10138,ICICI Bank,Salary,ICIC005000,2019-08-15,Active,TRUE,95008.09,TRUE
ACC10139,CUST10139,HDFC Bank,Salary,HDFC007267,2022-08-30,Active,TRUE,74084.22,TRUE
ACC10140,CUST10140,Bank of Baroda,Current,BARB005161,2017-11-11,Active,FALSE,265638.35,TRUE
ACC10141,CUST10141,IDFC FIRST Bank,Savings,IDFB003588,2019-12-15,Inactive,FALSE,60558.49,TRUE
ACC10142,CUST10142,Punjab National Bank,Current,PUNB005097,2018-05-22,Active,FALSE,63537.26,TRUE
ACC10143,CUST10143,Axis Bank,Salary,UTIB007248,2019-01-10,Active,TRUE,159924.27,TRUE
ACC10144,CUST10144,Canara Bank,Savings,CNRB007484,2015-02-03,Active,FALSE,245489.04,TRUE
ACC10145,CUST10145,YES Bank,Savings,YESB009138,2023-09-13,Active,FALSE,84218.2,TRUE
ACC10146,CUST10146,YES Bank,Savings,YESB005106,2022-01-17,Active,FALSE,90006.77,TRUE
ACC10147,CUST10147,Bank of Baroda,Salary,BARB001546,2019-02-03,Active,TRUE,12356.96,TRUE
ACC10148,CUST10148,Union Bank of India,Savings,UBIN007807,2017-04-02,Active,FALSE,37482.94,FALSE
ACC10149,CUST10149,IDFC FIRST Bank,Savings,IDFB009221,2016-11-04,Active,FALSE,104334.76,TRUE
ACC10150,CUST10150,Kotak Mahindra Bank,Savings,KKBK006549,2020-04-02,Inactive,FALSE,21387.04,FALSE
ACC10151,CUST10151,Canara Bank,Salary,CNRB007511,2019-02-07,Active,TRUE,35940.69,TRUE
ACC10152,CUST10152,HDFC Bank,Savings,HDFC008451,2022-07-18,Active,FALSE,38153.7,TRUE
ACC10153,CUST10153,Canara Bank,Savings,CNRB007086,2022-07-27,Active,TRUE,172125.33,TRUE
ACC10154,CUST10154,YES Bank,Savings,YESB004626,2022-02-15,Active,FALSE,89957.61,TRUE
ACC10155,CUST10155,ICICI Bank,Savings,ICIC001742,2018-05-31,Blocked,FALSE,31900.31,TRUE
ACC10156,CUST10156,IDFC FIRST Bank,Current,IDFB003222,2020-02-02,Active,FALSE,150210.83,TRUE
ACC10157,CUST10157,IDFC FIRST Bank,Salary,IDFB007866,2023-04-29,Active,TRUE,57966.5,TRUE
ACC10158,CUST10158,Bank of Baroda,Savings,BARB007686,2015-05-15,Active,TRUE,124057.93,TRUE
ACC10159,CUST10159,IndusInd Bank,Savings,INDB002627,2021-02-08,Active,FALSE,33575.7,TRUE
ACC10160,CUST10160,HDFC Bank,Savings,HDFC008450,2022-06-07,Active,FALSE,388454.84,TRUE
ACC10161,CUST10161,IndusInd Bank,Savings,INDB004990,2023-10-29,Active,FALSE,7793.29,TRUE
ACC10162,CUST10162,Axis Bank,Savings,UTIB004538,2018-09-07,Active,FALSE,90357.12,TRUE
ACC10163,CUST10163,Kotak Mahindra Bank,Savings,KKBK003370,2021-01-21,Active,TRUE,213761.52,TRUE
ACC10164,CUST10164,State Bank of India,Savings,SBIN006869,2021-08-08,Active,FALSE,30873.16,TRUE
ACC10165,CUST10165,Union Bank of India,Salary,UBIN007897,2016-04-10,Active,TRUE,57455.59,TRUE
ACC10166,CUST10166,IDFC FIRST Bank,Current,IDFB002786,2020-08-25,Active,FALSE,140554.0,TRUE
ACC10167,CUST10167,Canara Bank,Savings,CNRB009543,2020-02-20,Active,FALSE,9392.53,FALSE
ACC10168,CUST10168,Punjab National Bank,Savings,PUNB007984,2020-07-01,Active,FALSE,78232.68,TRUE
ACC10169,CUST10169,IndusInd Bank,Savings,INDB003430,2016-05-31,Active,FALSE,103500.13,TRUE
ACC10170,CUST10170,IndusInd Bank,Salary,INDB007240,2020-12-13,Active,TRUE,35478.62,TRUE
ACC10171,CUST10171,Union Bank of India,Salary,UBIN002874,2023-01-31,Active,TRUE,59505.95,TRUE
ACC10172,CUST10172,Punjab National Bank,Current,PUNB006553,2019-06-22,Active,FALSE,9064.12,TRUE
ACC10173,CUST10173,Canara Bank,Savings,CNRB005176,2016-09-17,Active,FALSE,67253.32,TRUE
ACC10174,CUST10174,HDFC Bank,Current,HDFC002527,2016-01-31,Active,TRUE,62682.33,TRUE
ACC10175,CUST10175,IDFC FIRST Bank,Savings,IDFB006400,2019-08-10,Active,FALSE,102021.77,TRUE
ACC10176,CUST10176,Union Bank of India,Savings,UBIN001842,2021-09-25,Active,FALSE,30313.05,TRUE
ACC10177,CUST10177,ICICI Bank,Savings,ICIC008900,2016-03-19,Active,TRUE,38722.71,TRUE
ACC10178,CUST10178,Axis Bank,Salary,UTIB008030,2023-08-10,Active,TRUE,33951.52,TRUE
ACC10179,CUST10179,State Bank of India,Savings,SBIN005381,2017-01-08,Active,FALSE,237171.16,TRUE
ACC10180,CUST10180,ICICI Bank,Salary,ICIC003347,2022-05-16,Active,TRUE,75399.89,TRUE
ACC10181,CUST10181,State Bank of India,Salary,SBIN002503,2017-05-31,Active,TRUE,136629.99,TRUE
ACC10182,CUST10182,Kotak Mahindra Bank,Salary,KKBK006314,2021-09-08,Active,TRUE,29037.59,TRUE
ACC10183,CUST10183,YES Bank,Savings,YESB001815,2018-01-19,Active,TRUE,182775.42,TRUE
ACC10184,CUST10184,Axis Bank,Savings,UTIB009394,2018-11-14,Active,FALSE,56700.27,TRUE
ACC10185,CUST10185,Bank of Baroda,Savings,BARB009633,2015-07-06,Active,FALSE,28993.44,TRUE
ACC10186,CUST10186,Axis Bank,Savings,UTIB003248,2018-03-31,Active,TRUE,236759.18,TRUE
ACC10187,CUST10187,Punjab National Bank,Savings,PUNB009725,2020-08-11,Active,FALSE,51192.84,TRUE
ACC10188,CUST10188,Punjab National Bank,Current,PUNB001693,2015-03-18,Active,FALSE,26634.28,TRUE
ACC10189,CUST10189,Punjab National Bank,Current,PUNB007626,2018-03-31,Active,TRUE,68302.17,TRUE
ACC10190,CUST10190,YES Bank,Savings,YESB008538,2015-12-27,Active,TRUE,145698.18,TRUE
ACC10191,CUST10191,HDFC Bank,Savings,HDFC007484,2023-05-13,Active,FALSE,49169.51,TRUE
ACC10192,CUST10192,IDFC FIRST Bank,Salary,IDFB002868,2020-09-19,Active,TRUE,77950.05,TRUE
ACC10193,CUST10193,Canara Bank,Savings,CNRB003419,2016-02-26,Active,TRUE,145912.83,TRUE
ACC10194,CUST10194,Canara Bank,Savings,CNRB002234,2023-09-01,Active,FALSE,66924.37,TRUE
ACC10195,CUST10195,YES Bank,Salary,YESB008354,2022-03-18,Active,TRUE,140206.65,TRUE
ACC10196,CUST10196,Canara Bank,Savings,CNRB006179,2019-12-07,Active,FALSE,52309.51,TRUE
ACC10197,CUST10197,Kotak Mahindra Bank,Savings,KKBK001920,2020-09-09,Active,FALSE,49772.13,TRUE
ACC10198,CUST10198,IndusInd Bank,Savings,INDB005703,2022-03-25,Active,FALSE,155359.84,TRUE
ACC10199,CUST10199,Bank of Baroda,Current,BARB001672,2021-05-30,Active,TRUE,102943.73,TRUE
ACC10200,CUST10200,State Bank of India,Savings,SBIN008381,2018-11-07,Blocked,TRUE,271090.97,TRUE
ACC10201,CUST10201,Union Bank of India,Current,UBIN008172,2020-11-16,Active,TRUE,103025.72,TRUE
ACC10202,CUST10202,Punjab National Bank,Salary,PUNB006543,2015-08-03,Active,TRUE,113826.1,TRUE
ACC10203,CUST10203,HDFC Bank,Savings,HDFC007333,2017-10-29,Active,FALSE,118849.75,TRUE
ACC10204,CUST10204,ICICI Bank,Savings,ICIC006461,2021-07-14,Active,FALSE,134193.93,TRUE
ACC10205,CUST10205,Canara Bank,Savings,CNRB007421,2021-09-03,Active,FALSE,8566.51,TRUE
ACC10206,CUST10206,Canara Bank,Savings,CNRB006381,2022-07-07,Active,FALSE,371783.53,TRUE
ACC10207,CUST10207,HDFC Bank,Salary,HDFC007937,2019-01-22,Active,TRUE,48313.93,FALSE
ACC10208,CUST10208,IndusInd Bank,Savings,INDB008967,2017-07-16,Blocked,TRUE,68559.41,TRUE
ACC10209,CUST10209,IDFC FIRST Bank,Salary,IDFB009843,2015-06-04,Active,TRUE,138148.33,TRUE
ACC10210,CUST10210,YES Bank,Savings,YESB007172,2016-10-26,Active,FALSE,64186.2,TRUE
ACC10211,CUST10211,ICICI Bank,Savings,ICIC008170,2019-08-10,Active,FALSE,128832.37,FALSE
ACC10212,CUST10212,YES Bank,Current,YESB005668,2017-08-16,Active,TRUE,371056.14,TRUE
ACC10213,CUST10213,Axis Bank,Salary,UTIB007026,2019-12-10,Active,TRUE,39054.26,TRUE
ACC10214,CUST10214,IDFC FIRST Bank,Savings,IDFB007859,2017-03-28,Active,TRUE,91850.86,TRUE
ACC10215,CUST10215,IndusInd Bank,Salary,INDB002680,2016-05-25,Active,TRUE,98711.06,TRUE
ACC10216,CUST10216,IDFC FIRST Bank,Current,IDFB003414,2016-01-11,Inactive,FALSE,28294.61,TRUE
ACC10217,CUST10217,IndusInd Bank,Current,INDB001436,2015-08-07,Active,TRUE,112876.27,TRUE
ACC10218,CUST10218,Axis Bank,Savings,UTIB001461,2016-02-10,Active,FALSE,96384.9,TRUE
ACC10219,CUST10219,ICICI Bank,Savings,ICIC001627,2020-04-19,Active,FALSE,30509.6,TRUE
ACC10220,CUST10220,Bank of Baroda,Savings,BARB001086,2015-03-19,Active,FALSE,66867.34,TRUE
ACC10221,CUST10221,Union Bank of India,Current,UBIN009647,2016-03-31,Active,FALSE,46659.74,TRUE
ACC10222,CUST10222,Axis Bank,Salary,UTIB007878,2020-02-16,Active,TRUE,44661.01,TRUE
ACC10223,CUST10223,IDFC FIRST Bank,Salary,IDFB001269,2021-06-13,Active,TRUE,31517.0,TRUE
ACC10224,CUST10224,YES Bank,Savings,YESB006780,2021-05-26,Active,FALSE,40177.53,FALSE
ACC10225,CUST10225,HDFC Bank,Salary,HDFC009618,2020-09-09,Active,TRUE,59656.16,TRUE
ACC10226,CUST10226,Bank of Baroda,Current,BARB001713,2019-03-10,Active,TRUE,176454.0,TRUE
ACC10227,CUST10227,Union Bank of India,Salary,UBIN002698,2023-03-31,Active,TRUE,20353.5,TRUE
ACC10228,CUST10228,IndusInd Bank,Current,INDB003868,2022-10-19,Active,FALSE,43281.19,TRUE
ACC10229,CUST10229,Union Bank of India,Savings,UBIN008498,2018-04-16,Active,FALSE,194340.81,TRUE
ACC10230,CUST10230,Kotak Mahindra Bank,Current,KKBK009444,2021-02-02,Active,FALSE,14601.53,TRUE
ACC10231,CUST10231,Kotak Mahindra Bank,Savings,KKBK006848,2022-05-09,Active,FALSE,29678.6,TRUE
ACC10232,CUST10232,Punjab National Bank,Current,PUNB008204,2018-10-20,Inactive,TRUE,152312.03,FALSE
ACC10233,CUST10233,IDFC FIRST Bank,Savings,IDFB005369,2023-02-26,Active,FALSE,80541.26,FALSE
ACC10234,CUST10234,ICICI Bank,Savings,ICIC009937,2018-08-08,Active,TRUE,66040.54,TRUE
ACC10235,CUST10235,Union Bank of India,Savings,UBIN007981,2022-09-26,Active,TRUE,158861.27,TRUE
ACC10236,CUST10236,YES Bank,Savings,YESB008126,2022-03-04,Blocked,FALSE,29437.18,TRUE
ACC10237,CUST10237,IndusInd Bank,Savings,INDB009406,2015-05-08,Active,FALSE,59472.18,TRUE
ACC10238,CUST10238,State Bank of India,Savings,SBIN003068,2017-08-24,Active,FALSE,36070.15,TRUE
ACC10239,CUST10239,YES Bank,Salary,YESB001530,2016-09-20,Active,TRUE,393675.76,TRUE
ACC10240,CUST10240,HDFC Bank,Salary,HDFC003255,2019-02-12,Active,TRUE,76115.02,TRUE
ACC10241,CUST10241,HDFC Bank,Savings,HDFC001424,2020-08-06,Active,FALSE,74790.29,TRUE
ACC10242,CUST10242,Union Bank of India,Savings,UBIN008311,2021-11-11,Active,FALSE,132542.03,TRUE
ACC10243,CUST10243,HDFC Bank,Savings,HDFC003223,2020-01-26,Active,FALSE,83940.47,FALSE
ACC10244,CUST10244,Canara Bank,Savings,CNRB006236,2022-12-16,Active,FALSE,53926.13,TRUE
ACC10245,CUST10245,ICICI Bank,Savings,ICIC003852,2020-09-14,Active,FALSE,67322.27,TRUE
ACC10246,CUST10246,Axis Bank,Savings,UTIB009094,2019-01-18,Active,TRUE,311581.35,TRUE
